,,meanAbsdwEE,meanAbsdwIE,meanAbsdwEI,meanAbsdwII,meanSumAbsMAvgDiffdW,meanSumAbsMAvgDiffConvergentdW,meanSumAbsMAvgDiffFRMSE,meanSumAbsMAvgDiffConvergentFRMSE,meanAbsPostConvergencedwEE,meanAbsPostConvergencedwIE,meanAbsPostConvergencedwEI,meanAbsPostConvergencedwII,minMSEExc,meanMSEExc,meanConvergentMSEExc,minMSEExcUnits,meanMSEExcUnits,meanConvergentMSEExcUnits,minMSEInh,meanMSEInh,meanConvergentMSEInh,minMSEInhUnits,meanMSEInhUnits,meanConvergentMSEInhUnits
0,cross-homeo-pre-scalar,0.04713629529886636,0.020232588962577285,0.11645137218628243,0.04670666155448192,0.05864584112077626,0.02617027454591225,1375.1385616117084,1410.8784752385811,0.041196701127418335,0.01433922038516481,0.11172822106624966,0.03807452487017111,0.0,37.122730109674904,16.157974766723047,12.50194920917799,182.152697334406,157.31212293173292,0.0,141.06733854168994,143.23597953741753,94.34481653581159,1192.1805346631797,1253.461493887812
1,cross-homeo-pre-scalar,0.04949211604381317,0.019906604035568102,0.12086596061287784,0.046871946257080944,0.05077923931591241,0.020949125562570146,2133.081087993417,1867.3920243117855,0.030516694940260984,0.010260559399014376,0.08475130077144101,0.028105722877241463,7.888609052210118e-31,388.5300157563529,18.28534124598332,14.015306122448978,588.6723076875057,195.2641313748016,0.0,276.34018617818754,197.35283842065195,116.05232379193598,1745.3755468386983,1672.3271352944876
2,cross-homeo-pre-scalar,0.04381258599981631,0.02197508863817066,0.11064093344957973,0.050419208846327564,0.058243292454865266,0.022095081366185744,6259.406808601415,2922.35699159603,0.029043901593456708,0.012019690214782608,0.0811491433271976,0.03253980636396427,8.857709750568152e-06,1653.5437159425687,16.11726478982564,16.857461734693878,1854.6845486370917,183.56822535529884,0.0,1203.904211223474,388.1304829397758,138.586011342155,4695.7765408025825,2738.778402126086
3,cross-homeo-pre-scalar,0.0479772598149204,0.012075122680917533,0.12083116661057301,0.02919580009543232,0.051273808702976334,0.02541213485339962,751.0657655846936,748.6113396054291,0.04385309961431107,0.009093997527898032,0.12024038122187154,0.02483346097259415,3.1704001298573367e-07,10.915492221692272,7.7903442737316695,9.990394305870495,96.00226167872732,88.83809813971162,3.329958974910587e-06,69.67052867709404,65.70825231426997,110.95356101624321,654.649020853211,660.2522339198333
4,cross-homeo-pre-scalar,0.036958642212971196,0.01325059848337699,0.09678881832336274,0.03369033459988268,0.034784593445996444,0.021268104525746827,1956.7257178461132,1982.3081924491235,0.03433660568122486,0.010873580828984127,0.09416773675341561,0.02944609289880329,1.52587890625e-05,22.535825474507266,19.45948265219832,13.313802083333336,190.14112601605817,184.89184031622543,3.086419753085411e-05,211.33341310749523,213.72098141619014,104.544887039239,1764.8843303416775,1796.8989578081223
5,cross-homeo-pre-scalar,0.03626932127293728,0.015054514938245509,0.09537113929237333,0.03781303105188304,0.035969970364168574,0.017549962782881103,4097.921189921513,2194.67013664993,0.02556607965358562,0.009610875660069702,0.07178312461141537,0.02646808601296998,3.228305785124151e-05,721.5192069871771,13.823620516539597,16.625344352617077,897.8376692329995,164.21094899947352,6.503642039538909e-05,1168.19521540537,252.95718644355236,125.698347107438,3664.6331546707197,2030.6718935289816
6,cross-homeo-pre-scalar,0.016785616153041645,0.004940395377639852,0.03150253095990205,0.009486458817323655,0.03452756856838822,0.009457073805939149,494.55851407076693,518.0833461940828,0.008266446730547028,0.002492356925566728,0.022633254436218705,0.006882242307445036,0.0047518720263841335,5.316975653180024,3.890763394793842,9.242167936491022,68.79279196055869,72.25379613281912,0.0087890625,38.06707107820432,26.627640594377652,92.25173010380622,425.49909657615416,445.85512508344146
7,cross-homeo-pre-scalar,0.018662688479239613,0.004729756170092313,0.044288442335023326,0.010859886663379718,0.024202872916899,0.011462555944427459,782.1309381947522,805.1252907467117,0.014494202622307672,0.0034954483700436628,0.04038040816074353,0.009694838354554525,0.004620526200117308,5.488848323909056,4.764904737843078,10.021711332516382,71.56057957861583,73.46981143990112,0.05279857807093373,68.82778233353892,64.0927913486694,102.50897502601458,710.0595326234106,731.9748864643692
8,cross-homeo-pre-scalar,0.021532383530287292,0.006989777649747605,0.059975446118228116,0.019555919009529077,0.012000316035712935,0.011353663173454457,3592.095346289396,3648.725451937175,0.019205999437457877,0.0063299481026329865,0.05373775468045932,0.017777539649912938,1.3516435986154176e-05,35.50157240276083,33.361752540023886,17.467838048563152,281.4418404281556,280.58525698824843,0.00021626297577846681,530.3241670043104,521.6102239542402,111.23760330578513,3332.7116274534064,3368.2142933827577
0,cross-homeo-pre-scalar-homeo,0.08488637972245221,0.04935932499690744,0.21783788198203446,0.12557146594251536,0.10770597046123169,0.06239630180784679,69.94050563648857,60.56055050581334,0.07543031661834117,0.042237878289069684,0.20993569016453442,0.11798100606760532,0.0,2.0086807959081727,1.0788141695163442,3.6058793755660927,13.01540404301721,11.46893842651438,3.1554436208840472e-30,13.515657226620059,6.806205685671142,13.59326549096915,57.039318622642135,49.1620344935431
